epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,281.469,0.39979,0.26354,0.79641,0.49323,0.5,0.49654,0.46526,0.42703,0.27898,0.79196,0.000247716,0.000247716,0.000247716
88,284.473,0.38444,0.26032,0.7814,0.49323,0.5,0.49744,0.4632,0.42705,0.27667,0.79032,0.000231213,0.000231213,0.000231213
89,287.378,0.39363,0.25362,0.77959,0.49331,0.5,0.4975,0.46844,0.43836,0.26686,0.79018,0.00021471,0.00021471,0.00021471
90,290.532,0.38786,0.25189,0.78514,0.49335,0.5,0.4975,0.46365,0.42643,0.26364,0.79081,0.000198206,0.000198206,0.000198206
91,317.88,0.38914,0.26038,0.76293,0.49322,0.5,0.49468,0.45925,0.44696,0.27851,0.79088,0.000181703,0.000181703,0.000181703
92,321.084,0.39338,0.26724,0.78323,0.49321,0.5,0.4934,0.45998,0.44437,0.27093,0.79136,0.0001652,0.0001652,0.0001652
93,324.253,0.3897,0.26156,0.786,0.49322,0.5,0.49397,0.46102,0.43927,0.2711,0.79079,0.000148696,0.000148696,0.000148696
94,327.621,0.39034,0.25615,0.77713,0.49321,0.5,0.49429,0.46225,0.44469,0.27868,0.79255,0.000132193,0.000132193,0.000132193
95,330.753,0.3885,0.25907,0.77459,0.49321,0.5,0.4941,0.46032,0.42579,0.26757,0.79219,0.00011569,0.00011569,0.00011569
96,333.952,0.37045,0.24624,0.77176,0.49323,0.5,0.49506,0.46571,0.4229,0.26884,0.79026,9.91865e-05,9.91865e-05,9.91865e-05
97,337.095,0.39667,0.25629,0.7653,0.49322,0.5,0.49513,0.46695,0.43149,0.27695,0.79033,8.26832e-05,8.26832e-05,8.26832e-05
98,340.255,0.36345,0.25302,0.76885,0.49322,0.5,0.49487,0.46211,0.42717,0.26038,0.79085,6.61799e-05,6.61799e-05,6.61799e-05
99,343.474,0.35454,0.2469,0.76733,0.49322,0.5,0.49481,0.46223,0.42061,0.26397,0.7907,4.96766e-05,4.96766e-05,4.96766e-05
100,347.197,0.36334,0.24279,0.77022,0.49322,0.5,0.49513,0.46447,0.42103,0.26022,0.7899,3.31733e-05,3.31733e-05,3.31733e-05
